no_crit,age_crit,sev_crit
C000,,D500
C001,,D501
C002,,D508
C003,,D509
C004,,D640
C005,,D641
C006,,D642
C008,,D643
C009,,D644
C010,,D648
C020,,D649
C021,,
C022,,
C023,,
C024,,
C028,,
C029,,
C030,,
C031,,
C039,,
C040,,
C041,,
C048,,
C049,,
C050,,
C051,,
C052,,
C058,,
C059,,
C060,,
C061,,
C062,,
C068,,
C069,,
C070,,
C080,,
C081,,
C089,,
C090,,
C091,,
C098,,
C099,,
C100,,
C101,,
C102,,
C103,,
C104,,
C108,,
C109,,
C110,,
C111,,
C112,,
C113,,
C118,,
C119,,
C120,,
C130,,
C131,,
C132,,
C138,,
C139,,
C140,,
C142,,
C148,,
C153,,
C154,,
C155,,
C158,,
C159,,
C160,,
C161,,
C162,,
C163,,
C164,,
C165,,
C166,,
C168,,
C169,,
C170,,
C171,,
C172,,
C173,,
C178,,
C179,,
C180,,
C181,,
C182,,
C183,,
C184,,
C185,,
C186,,
C187,,
C188,,
C189,,
C190,,
C200,,
C210,,
C211,,
C212,,
C218,,
C220,,
C221,,
C222,,
C223,,
C224,,
C227,,
C228,,
C229,,
C230,,
C240,,
C241,,
C248,,
C249,,
C250,,
C251,,
C252,,
C253,,
C254,,
C257,,
C258,,
C259,,
C260,,
C261,,
C269,,
C300,,
C301,,
C310,,
C311,,
C312,,
C313,,
C318,,
C319,,
C320,,
C321,,
C322,,
C323,,
C328,,
C329,,
C330,,
C340,,
C341,,
C342,,
C343,,
C348,,
C349,,
C370,,
C380,,
C381,,
C382,,
C383,,
C384,,
C388,,
C390,,
C399,,
C400,,
C401,,
C402,,
C403,,
C408,,
C409,,
C410,,
C411,,
C412,,
C413,,
C414,,
C419,,
C430,,
C431,,
C432,,
C433,,
C434,,
C435,,
C436,,
C437,,
C438,,
C439,,
C440,,
C441,,
C442,,
C443,,
C444,,
C445,,
C446,,
C447,,
C448,,
C449,,
C450,,
C451,,
C452,,
C457,,
C459,,
C460,,
C461,,
C462,,
C463,,
C464,,
C465,,
C467,,
C469,,
C470,,
C471,,
C472,,
C473,,
C474,,
C475,,
C476,,
C478,,
C479,,
C480,,
C481,,
C482,,
C488,,
C490,,
C491,,
C492,,
C493,,
C494,,
C495,,
C496,,
C498,,
C499,,
C49A,,
C500,,
C501,,
C502,,
C503,,
C504,,
C505,,
C506,,
C508,,
C509,,
C510,,
C511,,
C512,,
C518,,
C519,,
C520,,
C530,,
C531,,
C538,,
C539,,
C540,,
C541,,
C542,,
C543,,
C548,,
C549,,
C550,,
C561,,
C562,,
C569,,
C570,,
C571,,
C572,,
C573,,
C574,,
C577,,
C578,,
C579,,
C580,,
C600,,
C601,,
C602,,
C608,,
C609,,
C610,,
C620,,
C621,,
C629,,
C630,,
C631,,
C632,,
C637,,
C638,,
C639,,
C641,,
C642,,
C649,,
C651,,
C652,,
C659,,
C661,,
C662,,
C669,,
C670,,
C671,,
C672,,
C673,,
C674,,
C675,,
C676,,
C677,,
C678,,
C679,,
C680,,
C681,,
C688,,
C689,,
C690,,
C691,,
C692,,
C693,,
C694,,
C695,,
C696,,
C698,,
C699,,
C700,,
C701,,
C709,,
C710,,
C711,,
C712,,
C713,,
C714,,
C715,,
C716,,
C717,,
C718,,
C719,,
C720,,
C721,,
C722,,
C723,,
C724,,
C725,,
C729,,
C730,,
C740,,
C741,,
C749,,
C750,,
C751,,
C752,,
C753,,
C754,,
C755,,
C758,,
C759,,
C760,,
C761,,
C762,,
C763,,
C764,,
C765,,
C768,,
C770,,
C771,,
C772,,
C773,,
C774,,
C775,,
C778,,
C779,,
C780,,
C781,,
C782,,
C783,,
C784,,
C785,,
C786,,
C787,,
C788,,
C790,,
C791,,
C792,,
C793,,
C794,,
C795,,
C796,,
C797,,
C798,,
C799,,
C800,,
C801,,
C802,,
C810,,
C811,,
C812,,
C813,,
C814,,
C817,,
C819,,
C820,,
C821,,
C822,,
C823,,
C824,,
C825,,
C826,,
C828,,
C829,,
C830,,
C831,,
C833,,
C835,,
C837,,
C838,,
C839,,
C840,,
C841,,
C844,,
C846,,
C847,,
C849,,
C851,,
C852,,
C858,,
C859,,
C860,,
C861,,
C862,,
C863,,
C864,,
C865,,
C866,,
C880,,
C882,,
C883,,
C884,,
C888,,
C889,,
C900,,
C901,,
C902,,
C903,,
C910,,
C911,,
C913,,
C914,,
C915,,
C916,,
C919,,
C920,,
C921,,
C922,,
C923,,
C924,,
C925,,
C926,,
C929,,
C930,,
C931,,
C933,,
C939,,
C940,,
C942,,
C943,,
C944,,
C946,,
C948,,
C950,,
C951,,
C959,,
C960,,
C962,,
C964,,
C965,,
C966,,
C969,,
D000,,
D001,,
D002,,
D010,,
D011,,
D012,,
D013,,
D014,,
D015,,
D017,,
D019,,
D020,,
D021,,
D022,,
D023,,
D024,,
D050,,
D051,,
D058,,
D059,,
D060,,
D061,,
D067,,
D069,,
D070,,
D071,,
D072,,
D073,,
D074,,
D075,,
D076,,
D090,,
D091,,
D092,,
D093,,
D098,,
D099,,
D120,,
D121,,
D122,,
D123,,
D124,,
D125,,
D126,,
D127,,
D128,,
D129,,
D130,,
D131,,
D132,,
D133,,
D134,,
D135,,
D136,,
D137,,
D139,,
D141,,
D142,,
D143,,
D144,,
D150,,
D151,,
D152,,
D157,,
D159,,
D200,,
D201,,
D370,,
D371,,
D372,,
D373,,
D374,,
D375,,
D376,,
D378,,
D379,,
D380,,
D381,,
D382,,
D383,,
D384,,
D385,,
D386,,
D390,,
D391,,
D392,,
D397,,
D398,,
D399,,
D400,,
D401,,
D408,,
D409,,
D410,,
D411,,
D412,,
D413,,
D414,,
D418,,
D419,,
D420,,
D421,,
D429,,
D430,,
D431,,
D432,,
D433,,
D434,,
D438,,
D439,,
D440,,
D441,,
D442,,
D443,,
D444,,
D445,,
D446,,
D447,,
D448,,
D449,,
D450,,
D460,,
D461,,
D462,,
D464,,
D469,,
D470,,
D471,,
D472,,
D473,,
D474,,
D477,,
D479,,
D480,,
D481,,
D482,,
D483,,
D484,,
D485,,
D486,,
D487,,
D489,,
D630,,
E340,,
E883,,
G130,,
G131,,
G533,,
G550,,
G631,,
G731,,
G732,,
G941,,
M360,,
M361,,
M495,,
M820,,
M906,,
M907,,
N081,,
N161,,
Y431,,
Y432,,
Y433,,
Y842,,
Z080,,
Z510,,
Z511,,
Z512,,
Z541,,
Z542,,
Z850,,
Z851,,
Z852,,
Z853,,
Z854,,
Z855,,
Z856,,
Z857,,
Z858,,
Z859,,
Z860,,
Z923,,
D800,,
D801,,
D802,,
D803,,
D804,,
D805,,
D806,,
D807,,
D808,,
D809,,
D810,,
D811,,
D812,,
D813,,
D814,,
D815,,
D816,,
D817,,
D818,,
D819,,
D820,,
D821,,
D822,,
D823,,
D824,,
D828,,
D829,,
D830,,
D831,,
D832,,
D838,,
D839,,
D840,,
D841,,
D848,,
D849,,
G532,,
Q980,,
D560,,
D561,,
D562,,
D564,,
D568,,
D569,,
D570,,
D571,,
D572,,
D578,,
D580,,
D581,,
D582,,
D588,,
D589,,
D610,,
D619,,
D660,,
D670,,
D680,,
D681,,
D682,,
D684,,
D685,,
D686,,
D688,,
D689,,
D690,,
D691,,
D692,,
D693,,
D694,,
D695,,
D696,,
D698,,
D699,,
D700,,
D701,,
D702,,
D703,,
D704,,
D708,,
D709,,
D710,,
D720,,
D721,,
D728,,
D729,,
D730,,
D731,,
D732,,
D733,,
D734,,
D735,,
D738,,
D739,,
D740,,
D748,,
D749,,
D750,,
D751,,
D758,,
D759,,
D761,,
D762,,
D763,,
M362,,
M364,,
M904,,
N082,,
Z862,,
