no_crit,age_crit,sev_crit
Q200,,I000
Q201,,I010
Q202,,I011
Q203,,I012
Q204,,I018
Q205,,I019
Q206,,I020
Q210,,I029
Q211,,I050
Q212,,I051
Q213,,I052
Q214,,I058
Q218,,I059
Q220,,I060
Q221,,I061
Q222,,I062
Q223,,I068
Q224,,I069
Q225,,I070
Q226,,I071
Q228,,I072
Q229,,I078
Q230,,I079
Q231,,I080
Q232,,I081
Q233,,I082
Q234,,I083
Q238,,I088
Q239,,I089
Q240,,I090
Q241,,I091
Q242,,I092
Q243,,I098
Q244,,I099
Q245,,I100
Q246,,I110
Q248,,I119
Q249,,I120
Q250,,I129
Q25.,,I130
Q252,,I131
Q253,,I132
Q254,,I150
Q255,,I151
Q256,,I152
Q257,,I158
Q260,,I159
Q261,,I160
Q262,,I161
Q263,,I169
Q264,,I200
Q264,,I201
Q266,,I208
Q268,,I209
Q269,,I210
Q893,,I211
I431,,I212
I528,,I213
M036,,I214
N088,,I219
Q270,,I220
Q280,,I221
T820,,I222
T821,,I228
T823,,I229
T825,,I230
T826,,I231
T827,,I232
T828,,I233
T829,,I234
T862,,I235
Y605,,I236
Y615,,I237
Y625,,I238
Y840,,I240
Z450,,I241
Z500,,I248
Z941,,I249  
Z950,,I250
,,I251
,,I252
,,I253
,,I254
,,I255
,,I256
,,I257
,,I258
,,I259
,,I260
,,I269
,,I270
,,I271
,,I272
,,I278
,,I279
,,I280
,,I281
,,I288
,,I289
,,I310
,,I311
,,I312
,,I313
,,I314
,,I318
,,I319
,,I320
,,I330
,,I339
,,I340
,,I341
,,I342
,,I348
,,I349
,,I350
,,I351
,,I352
,,I358
,,I359
,,I360
,,I361
,,I362
,,I368
,,I369
,,I370
,,I371
,,I372
,,I378
,,I379
,,I380
,,I390
,,I410
,,I420
,,I421
,,I422
,,I423
,,I424
,,I425
,,I427
,,I428
,,I429
,,I430
,,I432
,,I434
,,I435
,,I436
,,I437
,,I438
,,I441
,,I442
,,I443
,,I444
,,I445
,,I446
,,I447
,,I451
,,I452
,,I453
,,I454
,,I455
,,I456
,,I458
,,I459
,,I460
,,I462
,,I468
,,I469
,,I470
,,I471
,,I472
,,I479
,,I480
,,I481
,,I482
,,I483
,,I484
,,I489
,,I490
,,I491
,,I492
,,I493
,,I494
,,I495
,,I498
,,I499
,,I501
,,I502
,,I503
,,I504
,,I508
,,I509
,,I510
,,I700
,,I710
,,I711
,,I712
,,I713
,,I714
,,I715
,,I716
,,I718
,,I719
,,I721
,,I723
,,I724
,,I728
,,I729
,,I730
,,I731
,,I738
,,I739
,,I740
,,I741
,,I742
,,I743
,,I744
,,I745
,,I748
,,I749
,,I750
,,I758
,,I760
,,I770
,,I771
,,I772
,,I773
,,I774
,,I775
,,I776
,,I777
,,I778
,,I790
,,I791
,,I798
,,I810
,,I820
,,I821
,,I822
,,I823
,,I828
,,I980
,,I990
,,S260
,,S268
,,S269
