no_crit,age_crit,sev_crit
B200,,B508
B201,,B518
B202,,B528
B203,,
B204,,
B205,,
B206,,
B207,,
B208,,
B209,,
B210,,
B211,,
B213,,
B217,,
B218,,
B219,,
B220,,
B221,,
B222,,
B227,,
B230,,
B231,,
B232,,
B238,,
B240,,
F024,,
R750,,
Z210,,
A150,,
A154,,
A155,,
A156,,
A157,,
A158,,
A159,,
A160,,
A180,,
A181,,
A182,,
A183,,
A184,,
A185,,
A186,,
A187,,
A188,,
A190,,
A191,,
A192,,
A198,,
A199,,
E350,,
K230,,
K673,,
K930,,
M011,,
M490,,
P379,,
A500,,
A501,,
A502,,
A503,,
A504,,
A505,,
A506,,
A507,,
A509,,
A810,,
A811,,
A812,,
A818,,
A819,,
B180,,
B181,,
B182,,
B188,,
B189,,
B371,,
B375,,
B376,,
B377,,
B381,,
B391,,
B401,,
B440,,
B447,,
B450,,
B451,,
B452,,
B453,,
B457,,
B458,,
B459,,
B460,,
B461,,
B462,,
B463,,
B464,,
B465,,
B468,,
B469 ,,
B487,,
B500,,
B510,,
B520,,
B550,,
B551 ,,
B552,,
B559,,
B572,,
B573,,
B574,,
B575,,
B580,,
B590,,
B670,,
B671,,
B672,,
B673,,
B674,,
B675,,
B676,,
B677,,
B678,,
B679,,
B690,,
B691,,
B698,,
B699,,
B730,,
B731,,
B740,,
B741,,
B742,,
B743,,
B744,,
B748,,
B749,,
B787,,
B900,,
B901,,
B902,,
B908,,
B909,,
B910,,
B920,,
B940,,
B941,,
B942,,
B948,,
B949,,
F021,,
K231,,
K931,,
M000,,
M001,,
M002,,
M002,,
M008,,
M009,,
N330,,
P350,,
P351,,
P352,,
P358,,
P359,,
P371,,
