no_crit,age_crit,sev_crit
E244,Y100,F550
F100,Y110,G240
F101,Y120,R781
F102,Y130,R782
F103,Y140,R783
F104,Y150,R784
F105,Y160,R785
F106,Y170,Z722
F107,Y180,F590
F108,Y190,F990
F109,Y200,Z093
F110,Y210,Z504
F111,Y220,Z914
F112,Y230,
F113,Y240,
F114,Y250,
F115,Y260,
F116,Y270,
F117,Y280,
F118,Y290,
F119,Y300,
F120,Y310,
F121,Y320,
F122,Y330,
F123,Y340,
F124,Y872,
F125,,
F126,,
F127,,
F128,,
F129,,
F130,,
F131,,
F132,,
F133,,
F134,,
F135,,
F136,,
F137,,
F138,,
F139,,
F140,,
F141,,
F142,,
F143,,
F144,,
F145,,
F146,,
F147,,
F148,,
F149,,
F150,,
F151,,
F152,,
F153,,
F154,,
F155,,
F156,,
F157,,
F158,,
F159,,
F160,,
F161,,
F162,,
F163,,
F164,,
F165,,
F166,,
F167,,
F168,,
F169,,
F170,,
F171,,
F172,,
F173,,
F174,,
F175,,
F176,,
F177,,
F178,,
F179,,
F180,,
F181,,
F182,,
F183,,
F184,,
F185,,
F186,,
F187,,
F188,,
F189,,
F190,,
F191,,
F192,,
F193,,
F194,,
F195,,
F196,,
F197,,
F198,,
F199,,
G312,,
G405,,
G621,,
G720,,
G721,,
I426,,
K292,,
K700,,
K701,,
K702,,
K703,,
K704,,
K709,,
K852,,
K853,,
K860,,
O354,,
Y470,,
Y490,,
Z502,,
Z503,,
Z714,,
Z715,,
Z864,,
X600,,
X610,,
X620,,
X630,,
X640,,
X650,,
X660,,
X670,,
X680,,
X690,,
X700,,
X710,,
X720,,
X730,,
X740,,
X750,,
X760,,
X770,,
X780,,
X790,,
X800,,
X810,,
X820,,
X830,,
X840,,
Y870,,
Z915,,
F000,,
F010,,
F011,,
F028,,
F030,,
F039,,
F040,,
F050,,
F060,,
F061,,
F062,,
F063,,
F064,,
F065,,
F066,,
F067,,
F068,,
F069,,
F070,,
F071,,
F072,,
F078,,
F079,,
F090,,
F200,,
F201,,
F202,,
F203,,
F204,,
F205,,
F206,,
F208,,
F209,,
F210,,
F220,,
F228,,
F229,,
F230,,
F231,,
F232,,
F233,,
F238,,
F239,,
F240,,
F250,,
F251,,
F252,,
F258,,
F259,,
F280,,
F290,,
F300,,
F301,,
F302,,
F303,,
F304,,
F308,,
F309,,
F310,,
F311,,
F312,,
F313,,
F314,,
F315,,
F316,,
F317,,
F318,,
F319,,
F320,,
F321,,
F322,,
F323,,
F324,,
F325,,
F328,,
F329,,
F330,,
F331,,
F332,,
F333,,
F334,,
F338,,
F339,,
F340,,
F341,,
F348,,
F349,,
F380,,
F381,,
F388,,
F390,,
F400,,
F401,,
F402,,
F408,,
F409,,
F410,,
F411,,
F413,,
F418,,
F419,,
F422,,
F423,,
F424,,
F428,,
F429,,
F430,,
F431,,
F432,,
F438,,
F439,,
F440,,
F441,,
F442,,
F444,,
F445,,
F446,,
F447,,
F448,,
F449,,
F450,,
F451,,
F452,,
F454,,
F458,,
F459,,
F481,,
F482,,
F488,,
F489,,
F500,,
F501,,
F502,,
F503,,
F504,,
F505,,
F508,,
F509,,
F530,,
F531,,
F540,,
Z865,,
F600,,
F601,,
F602,,
F603,,
F604,,
F605,,
F606,,
F607,,
F608,,
F609,,
F610,,
F620,,
F630,,
F631,,
F632,,
F633,,
F638,,
F639,,
F640,,
F641,,
F648,,
F649,,
F650,,
F651,,
F652,,
F653,,
F654,,
F655,,
F656,,
F658,,
F660,,
F661,,
F662,,
F668,,
F669,,
F680,,
F681,,
F688,,
F690,,
F700,,
F710,,
F720,,
F730,,
F780,,
F790,,
F800,,
F801,,
F802,,
F808,,
F809,,
F810,,
F811,,
F812,,
F813,,
F818,,
F819,,
F820,,
F830,,
F840,,
F841,,
F842,,
F843,,
F845,,
F848,,
F849,,
F880,,
F890,,
F900,,
F901,,
F902,,
F908,,
F909,,
F910,,
F911,,
F912,,
F913,,
F918,,
F919,,
F920,,
F928,,
F929,,
F930,,
F931,,
F932,,
F933,,
F938,,
F939,,
F940,,
F941,,
F942,,
F948,,
F949,,
F950,,
F951,,
F952,,
F958,,
F959,,
F980,,
F981,,
F982,,
F983,,
F984,,
F985,,
F986,,
F988,,
F989,,
