no_crit,age_crit,sev_crit
E100,,E882
E101,,S360
E102,,S361
E103,,S362
E104,,S363
E105,,S364
E106,,S365
E108,,S366
E109,,S368
E110,,S369
E111,,S370
E112,,S371
E113,,S372
E114,,S373
E115,,S374
E116,,S375
E118,,S376
E119,,S378
E120,,S379
E121,,S380
E122,,S381
E123,,S382
E124,,S383
E125,,S396
E126,,S397
E130,,T065
E131,,T915
E132,,T280
E133,,T281
E134,,T282
E135,,T283
E136,,T284
E138,,T285
E139,,T286
E140,,T287
E141,,T288
E142,,T289
E143,,N920
E144,,N921
E145,,N922
E146,,N923
G590,,N924
G632,,N925
I792,,N926
M142,,N860
N083,,
Y423,,
O240,,
O241,,
O243,,
O244,,
O248,,
O249,,
E000,,
E001,,
E002,,
E009,,
E030,,
E031,,
E071,,
E220,,
E230,,
E250,,
E258,,
E259,,
E268,,
E291,,
E310,,
E311,,
E312,,
E318,,
E319,,
E341,,
E342,,
E345,,
E348,,
G132,,
G735,,
Y421,,
D550,,
D551,,
D552,,
D553,,
D558,,
D559,,
E700,,
E701,,
E702,,
E703,,
E704,,
E705,,
E708,,
E709,,
E710,,
E711,,
E712,,
E713,,
E714,,
E715,,
E720,,
E721,,
E722,,
E723,,
E724,,
E725,,
E728,,
E729,,
E740,,
E741,,
E742,,
E743,,
E744,,
E748,,
E749,,
E750,,
E751,,
E752,,
E753,,
E754,,
E755,,
E756,,
E760,,
E761,,
E762,,
E768,,
E769,,
E770,,
E771,,
E778,,
E779,,
E780,,
E781,,
E782,,
E783,,
E784,,
E785,,
E786,,
E787,,
E788,,
E789,,
E791,,
E792,,
E798,,
E799,,
E800,,
E801,,
E802,,
E803,,
E805,,
E807,,
E830,,
E831,,
E832,,
E833,,
E834,,
E835,,
E838,,
E839,,
E850,,
E851,,
E852,,
E853,,
E854,,
E858,,
E859,,
E880,,
E881,,
E888,,
E889,,
G736,,
L990,,
M144,,
M143,,
N163,,
E660,,
E661,,
E662,,
E663,,
E668,,
D669,,
G633,,
G990,,
M145,,
Z863,,
Z938,,
D638,,
G638,,
G998,,
I688,,
M908,,
N084,,
N000,,
N001,,
N002,,
N003,,
N004,,
N005,,
N006,,
N007,,
N008,,
N009,,
N010,,
N011,,
N012,,
N013,,
N014,,
N015,,
N016,,
N017,,
N018,,
N019,,
N020,,
N021,,
N022,,
N023,,
N024,,
N025,,
N026,,
N027,,
N028,,
N029,,
N030,,
N031,,
N032,,
N033,,
N034,,
N035,,
N036,,
N037,,
N038,,
N039,,
N040,,
N041,,
N042,,
N043,,
N044,,
N045,,
N046,,
N047,,
N048,,
N049,,
N050,,
N051,,
N052,,
N053,,
N054,,
N055,,
N056,,
N057,,
N058,,
N059,,
N070,,
N071,,
N072,,
N073,,
N074,,
N075,,
N076,,
N077,,
N078,,
N079,,
N110,,
N111,,
N120,,
N130,,
N131,,
N132,,
