no_crit,age_crit,sev_crit
G551,,S130
G552,,S131
G553,,S132
G635,,S133
G636,,S134
G737,,S135
J990,,S136
J991,,S138
M050,,S139
M051,,S220
M052,,S221
M053,,S222
M054,,S225
M055,,S230
M056,,S231
M057,,S232
M058,,S233
M059,,S234
M060,,S238
M061,,S239
M062,,S320
M063,,S321
M064,,S322
M068,,S323
M069,,S324
M070,,S325
M071,,S326
M072,,S328
M073,,S329
M076,,S330
M080,,S331
M081,,S332
M082,,S333
M083,,S334
M084,,S335
M088,,S336
M089,,S338
M098,,S339
M100,,S683
M101,,S688
M102,,S770
M103,,S771
M104,,S772
M109,,S780
M110,,S781
M111,,S789
M112,,S870
M118,,S878
M119,,S880
M120,,S881
M121,,S889
M123,,S970
M124,,S971
M125,,S978
M128,,S980
M129,,S982
M130,,S983
M131,,S984
M138,,T020
M139,,T040
M140,,T050
M146,,T203
M148,,T207
M300,,T213
M301,,T217
M302,,T223
M303,,T227
M308,,T232
M310,,T233
M311,,T236
M312,,T237
M313,,T243
M314,,T247
M315,,T252
M316,,T253
M317,,T256
M318,,T257
M319,,T293
M320,,T297
M321,,T303
M328,,T307
M329,,T312
M330,,T313
M331,,T314
M332,,T315
M338,,T316
M340,,T317
M341,,T318
M342,,T319
M348,,T322
M349,,T323
M350,,T324
M351,,T325
M352,,T326
M353,,T327
M354,,T328
M355,,T329
M356,,T912
M357,,T918
M358,,T926
M359,,T931
M400,,T934
M401,,T936
M402,,T940
M403,,T941
M404,,T950
M405,,T951
M410,,T954
M411,,T958
M412,,T959
M413,,Q683
M414,,Q684
M415,,Q685
M418,,
M419,,
M420,,
M421,,
M429,,
M430,,
M431,,
M432,,
M433,,
M434,,
M435,,
M436,,
M438,,
M439,,
M450,,
M451,,
M452,,
M453,,
M454,,
M455,,
M456,,
M457,,
M458,,
M459,,
M460,,
M461,,
M462,,
M463,,
M464,,
M465,,
M468,,
M469,,
M470,,
M471,,
M472,,
M478,,
M479,,
M480,,
M481,,
M482,,
M483,,
M484,,
M485,,
M488,,
M489,,
M500,,
M501,,
M502,,
M503,,
M508,,
M509,,
M510,,
M511,,
M512,,
M513,,
M514,,
M518,,
M519,,
M530,,
M531,,
M532,,
M533,,
M538,,
M539,,
M540,,
M541,,
M542,,
M543,,
M544,,
M545,,
M546,,
M548,,
M549,,
M600,,
M601,,
M602,,
M608,,
M609,,
M610,,
M611,,
M612,,
M613,,
M614,,
M615,,
M619,,
M620,,
M621,,
M622,,
M623,,
M624,,
M625,,
M626,,
M628,,
M629,,
M638,,
M801,,
M802,,
M803,,
M804,,
M805,,
M806,,
M807,,
M808,,
M809,,
M811,,
M816,,
M818,,
M821,,
M828,,
M840,,
M841,,
M842,,
M848,,
M849,,
M850,,
M851,,
M852,,
M853,,
M854,,
M855,,
M856,,
M858,,
M859,,
M863,,
M864,,
M865,,
M866,,
M890,,
M891,,
M892,,
M893,,
M894,,
M895,,
M896,,
M897,,
M898,,
M899,,
M900,,
N085,,
Y464,,
M910,,
M911,,
M912,,
M913,,
M914,,
M918,,
M919,,
M920,,
M921,,
M922,,
M923,,
M924,,
M925,,
M926,,
M927,,
M928,,
M929,,
M930,,
M931,,
M932,,
M938,,
M939,,
M940,,
M941,,
M942,,
M943,,
M948,,
M949,,
T873,,
T874,,
T875,,
T876,,
Y835,,
Z891,,
Z892,,
Z895,,
Z896,,
Z897,,
Z898,,
Z971,,
L100,,
L101,,
L102,,
L103,,
L104,,
L105,,
L108,,
L109,,
L110,,
L118,,
L119,,
L120,,
L121,,
L122,,
L123,,
L124,,
L125,,
L128,,
L129,,
L130,,
L131,,
L138,,
L139,,
L140,,
L280,,
L281,,
L282,,
L400,,
L401,,
L402,,
L403,,
L404,,
L405,,
L408,,
L409,,
L410,,
L411,,
L412,,
L413,,
L414,,
L415,,
L418,,
L419,,
L420,,
L430,,
L431,,
L432,,
L433,,
L438,,
L439,,
L440,,
L441,,
L442,,
L443,,
L444,,
L448,,
L449,,
L450,,
L570,,
L571,,
L572,,
L573,,
L574,,
L575,,
L578,,
L579,,
L581,,
L590,,
L598,,
L599,,
L870,,
L871,,
L872,,
L878,,
L879,,
L880,,
L900,,
L901,,
L902,,
L903,,
L904,,
L905,,
L906,,
L908,,
L909,,
L920,,
L921,,
L922,,
L923,,
L928,,
L929,,
L930,,
L931,,
L932,,
L950,,
L951,,
L952,,
L953,,
L958,,
L959,,
L985,,
M090,,
Q800,,
Q801,,
Q802,,
Q803,,
Q804,,
Q808,,
Q809,,
Q810,,
Q811,,
Q812,,
Q818,,
Q819,,
Q870,,
Q871,,
Q872,,
Q873,,
Q874,,
Q875,,
Q894,,
Q188,,
Q650,,
Q651,,
Q652,,
Q658,,
Q659,,
Q675,,
Q682,,
Q710,,
Q711,,
Q712,,
Q713,,
Q714,,
Q715,,
Q716,,
Q718,,
Q719,,
Q720,,
Q721,,
Q722,,
Q723,,
Q724,,
Q725,,
Q726,,
Q727,,
Q728,,
Q729,,
Q730,,
Q731,,
Q738,,
Q740,,
Q741,,
Q742,,
Q743,,
Q748,,
Q749,,
Q753,,
Q754,,
Q755,,
Q758,,
Q759,,
Q761,,
Q762,,
Q763,,
Q764,,
Q770,,
Q771,,
Q772,,
Q773,,
Q774,,
Q775,,
Q776,,
Q777,,
Q778,,
Q779,,
Q780,,
Q781,,
Q782,,
Q783,,
Q784,,
Q785,,
Q786,,
Q788,,
Q789,,
Q796,,
Q798,,
Q820,,
Q821,,
Q822,,
Q823,,
Q824,,
Q829,,
Q862,,
Q897,,
Q898,,
Q899,,
