no_crit,age_crit,sev_crit
F803,,S050
G400,,S051
G401,,S052
G402,,S053
G403,,S054
G404,,S055
G406,,S056
G407,,S057
G408,,S058
G409,,S059
G410,,S060
G411,,S061
G412,,S062
G418,,S063
G419,,S064
R568,,S065
Y460,,S066
Y461,,S067
Y462,,S068
Y463,,S069
Y464,,S070
Y465,,S071
Y466,,S078
G800,,S079
G801,,S080
G802,,S081
G803,,S088
G804,,S120
G808,,S121
G809,,S122
G810,,S123
G811,,S124
G819,,S125
G820,,S126
G821,,S128
G822,,S129
G823,,S140
G824,,S141
G825,,S142
G830,,S143
G831,,S144
G832,,S145
G833,,S146
G834,,S148
G835,,S149
G838,,S240
G839,,S241
H051,,S242
H052,,S243
H053,,S244
H054,,S248
H055,,S249
H058,,S340
H059,,S341
H133,,S342
H170,,S343
H171,,S344
H178,,S345
H179,,S346
H180,,S348
H181,,S349
H182,,S440
H183,,S441
H184,,S442
H185,,S443
H186,,S444
H187,,S445
H188,,S447
H189,,S448
H193,,S449
H198,,S540
H210,,S541
H211,,S542
H212,,S543
H213,,S547
H214,,S548
H215,,S549
H218,,S640
H219,,S641
H260,,S642
H261,,S643
H262,,S644
H263,,S647
H264,,S648
H268,,S649
H269,,S740
H270,,S741
H271,,S742
H278,,S748
H279,,S749
H280,,S840
H281,,S841
H282,,S842
H310,,S848
H311,,S849
H312,,S940
H313,,S941
H314,,S942
H318,,S943
H319,,S948
H328,,S949
H330,,T060
H331,,T061
H332,,T062
H333,,T904
H334,,T905
H338,,T911
H340,,T913
H341,,T924
H342,,T260
H348,,T261
H349,,T262
H350,,T263
H351,,T264
H352,,T265
H353,,T266
H354,,T267
H355,,T268
H356,,T269
H357,,
H358,,
H359,,
H400,,
H401,,
H402,,
H403,,
H404,,
H405,,
H406,,
H408,,
H409,,
H420,,
H430,,
H431,,
H432,,
H433,,
H438,,
H439,,
H440,,
H441,,
H442,,
H443,,
H444,,
H445,,
H446,,
H447,,
H448,,
H449,,
H470,,
H471,,
H472,,
H473,,
H474,,
H475,,
H476,,
H477,,
H479,,
H540,,
H541,,
H542,,
H544,,
T852,,
T853,,
Z442,,
H602,,
H652,,
H653,,
H654,,
H661,,
H662,,
H663,,
H690,,
H701,,
H731,,
H740,,
H741,,
H742,,
H743,,
H744,,
H750,,
H800,,
H801,,
H802,,
H808,,
H809,,
H810,,
H814,,
H830,,
H832,,
H900,,
H903,,
H905,,
H906,,
Z453,,
H910,,
H911,,
H912,,
H913,,
H918,,
H919,,
P100,,
P101,,
P102,,
P103,,
P104,,
P108,,
P109,,
P210,,
P911,,
P912,,
P916,,
P520,,
P521,,
P522,,
P523,,
P524,,
P525,,
P526,,
P528,,
P529,,
P570,,
P578,,
P579,,
P900,,
Q000,,
Q001,,
Q002,,
Q010,,
Q011,,
Q012,,
Q018,,
Q019,,
Q020,,
Q030,,
Q031,,
Q038,,
Q039,,
Q040,,
Q041,,
Q042,,
Q043,,
Q044,,
Q045,,
Q046,,
Q048,,
Q049,,
Q050,,
Q051,,
Q052,,
Q053,,
Q054,,
Q055,,
Q056,,
Q057,,
Q058,,
Q059,,
Q060,,
Q061,,
Q062,,
Q063,,
Q064,,
Q068,,
Q069,,
