no_crit,age_crit,sev_crit
J410,,S170
J411,,S178
J418,,S179
J420,,S270
J430,,S271
J431,,S272
J432,,S273
J438,,S274
J439,,S275
J440,,S276
J441,,S277
J449,,S278
J452,,S279
J453,,S280
J454,,S281
J455,,S282
J459,,T270
J470,,T271
J471,,T272
J479,,T273
E840,,T274
E841,,T275
E848,,T276
E849,,T277
P750,,T914
Q300,,
Q301,,
Q302,,
Q303,,
Q308,,
Q309,,
Q310,,
Q311,,
Q312,,
Q313,,
Q315,,
Q318,,
Q319,,
Q320,,
Q321,,
Q322,,
Q323,,
Q324,,
Q330,,
Q331,,
Q332,,
Q333,,
Q334,,
Q335,,
Q336,,
Q338,,
Q339,,
Q340,,
Q341,,
Q348,,
Q349,,
Q351,,
Q353,,
Q355,,
Q357,,
Q359,,
Q360,,
Q361,,
Q369,,
Q370,,
Q371,,
Q372,,
Q373,,
Q374,,
Q375,,
Q378,,
Q379,,
Q790,,
G473,,
J600,,
J610,,
J620,,
J628,,
J630,,
J631,,
J632,,
J633,,
J634,,
J635,,
J636,,
J638,,
J640,,
J650,,
J660,,
J661,,
J662,,
J668,,
J670,,
J671,,
J672,,
J673,,
J674,,
J675,,
J676,,
J677,,
J678,,
J679,,
J680,,
J681,,
J682,,
J683,,
J684,,
J688,,
J689,,
J690,,
J691,,
J698,,
J700,,
J701,,
J702,,
J703,,
J704,,
J705,,
J708,,
J709,,
J800,,
J810,,
J811,,
J820,,
J840,,
J841,,
J842,,
J848,,
J849,,
J850,,
J851,,
J852,,
J853,,
J860,,
J869,,
J961,,
J980,,
J981,,
J982,,
J983,,
J984,,
J985,,
J986,,
J988,,
J899,,
P270,,
P271,,
P278,,
P279,,
Y556,,
Z430,,
Z930,,
Z942,,
